title,thumbnail,url,color,year,width,height,featured
OKF: Spending Stories,assets/images/thumbnails/spst.png,http://spendingstories.org,#DF1B4F,2014,,,FALSE
Wikileaks: Kissinger Cables,assets/images/thumbnails/wl.png,http://wikileaks.org/plusd/graph,#8BD6E5,2014,,,FALSE
Île de France: Le Grand Quiz,assets/images/thumbnails/idf-quiz.png,http://quiz.iledefrance.fr/quiz/quiz-loisirs-verts/,#FF0000,2014,,,FALSE
France Télévision: Jeu d'Influences,assets/images/thumbnails/ftv-spin.png,https://jeudinfluences.thepixelhunt.com/,#440000,2014,,,TRUE
France Télévision: Municipaly,assets/images/thumbnails/municipaly.png,http://municipaly.fr,#00D59B,2014,,,FALSE
Fondation BNPP: Odyssée Jeunes,assets/images/thumbnails/bnpp.png,http://odysseejeunes.wedodata.fr/,#00A1B5,2014,,,FALSE
Arte: Une contre-histoire des Internets,assets/images/thumbnails/lesinternets-mini-150x150.png,http://lesinternets.arte.tv/,#EE9B00,2014,,,FALSE
Al Jazeera : Dragons Gifts,assets/images/thumbnails/dragons.png,http://www.aljazeera.com/indepth/interactive/2014/03/interactive-china-african-spending-spree-2014320121349799136.html,#FB9D04,2014,,,FALSE
Benford's Law Calculator,assets/images/thumbnails/brokenp.png,http://benford.pirhoo.com,#1A1E28,2013,,,FALSE
Hackaton: Broken Promises,assets/images/thumbnails/bp.png,http://web.archive.org/web/20170703185734/http://brokenpromises.jplusplus.org:80/,#5879A5,2013,,,FALSE
L’Express: Des données pour l’autisme,assets/images/thumbnails/dap.png,http://desdonneespourlautisme.pirhoo.com,#E20022,2013,,,FALSE
Dataplayer,assets/images/thumbnails/dp.png,http://web.archive.org/web/20130807061316/http://dataplayer.org,#00DBB5,2013,,,FALSE
Île de France:  Actions pour le femmes,,http://idf-interactive.herokuapp.com/actions-femmes.html,,2013,813,493,FALSE
Île de France:  Aides aux entreprises,,http://idf-interactive.herokuapp.com/aides-entreprises.html,,2013,813,493,FALSE
Île de France: Coworking,,http://idf-interactive.herokuapp.com/coworking.html,,2013,813,493,FALSE
Île de France: se divertir,,http://idf-interactive.herokuapp.com/divertir.html,,2013,940,600,FALSE
Île de France: entreprendre,,http://idf-interactive.herokuapp.com/entreprendre.html,,2013,940,600,FALSE
Île de France: environnement,,http://idf-interactive.herokuapp.com/environnement.html,,2013,940,600,FALSE
Île de France: étudier,,http://idf-interactive.herokuapp.com/etudier.html,,2013,940,600,FALSE
Île de France: à l'international,,http://idf-interactive.herokuapp.com/international.html,,2013,940,600,FALSE
Île de France: se loger,,http://idf-interactive.herokuapp.com/logement.html,,2013,940,600,FALSE
Île de France: la recherche,,http://idf-interactive.herokuapp.com/recherche.html,,2013,940,600,FALSE
Île de France: les transports,,http://idf-interactive.herokuapp.com/transports.html,,2013,940,600,FALSE
Île de France: RA 2013 - BU,,http://idf-interactive.herokuapp.com/ra2013-bu.html,,2013,1380,692,FALSE
Île de France: RA 2013 - Energies,,http://idf-interactive.herokuapp.com/ra2013-energies-positif.html,,2013,1380,692,FALSE
